Year    Jan     Feb     Mar     Apr     May     Jun       Jul     Aug     Sep     Oct     Nov     Dec       Winter Season
Jan-Feb Pre-Monsoon Season
Mar-May Monsoon Season
Jun-Sep Post-Monsoon Season
Oct-Dec Annual
2013    17.9398 20.7939 24.8891 28.0778 30.8888 29.1089   27.6233 27.0838 27.3465 25.7179 21.8325 18.8874   19.3668 27.9277 27.7906 22.1459 24.9930
2014    18.0975 19.9380 23.8917 28.2547 30.0059 30.6739   28.3767 27.6581 27.0220 25.9676 22.5918 18.6218   19.0178 27.3602 28.4327 22.3937 25.0679
2015    17.9858 21.2186 24.0652 27.6559 30.6943 29.3000   28.3823 27.6763 27.6759 26.4847 23.0356 19.4948   19.6022 27.4475 28.2586 23.0050 25.2810
2016    18.8581 21.9876 25.7622 29.4831 30.6623 30.0489   27.7954 27.5311 27.2824 25.9806 22.3218 19.8519   20.4229 28.6359 28.1645 22.7181 25.6305
2017    18.4447 21.5453 24.6965 29.1154 30.8486 29.5501   27.8896 27.6331 27.6852 26.5229 22.2764 19.4577   19.9950 28.2201 28.1895 22.7523 25.4721
2018    18.3288 21.4452 25.5966 28.5847 30.5347 29.8662   27.8978 27.3493 27.1646 25.8406 22.6524 18.6815   19.8870 28.2387 28.0695 22.3915 25.3285
2019    17.9152 20.5199 24.3576 28.9504 30.6512 30.7165   28.4163 27.5964 27.2329 25.5310 22.8016 18.5412   19.2176 27.9864 28.4905 22.2913 25.2692
2020    17.8991 20.5327 24.0553 28.0259 30.1196 29.1555   28.4407 27.6847 27.7708 26.4147 22.1740 19.2556   19.2159 27.4003 28.2629 22.6148 25.1274
2021    18.7399 21.3393 25.7727 28.4454 29.2635 29.0389   28.3630 27.7521 27.4259 26.2037 22.3001 19.0719   20.0396 27.8272 28.1450 22.5252 25.3097
2022    17.8514 20.1696 26.2737 29.7300 30.4304 29.9451   27.9132 27.5964 27.4371 25.5420 22.3108 19.9536   19.0105 28.8114 28.2229 22.6021 25.4295
2023    18.2580 21.9006 24.6432 27.8429 29.3957 30.1488   28.1433 28.0053 27.9340 26.2356 23.1552 19.9438   20.0793 27.2939 28.5579 23.1115 25.4672
2024    18.3748 21.1022 24.9235 29.0582 31.0750 30.5463   28.6501 27.7915 27.8783 26.9184 23.1391 19.4597   19.7385 28.3522 28.7166 23.1724 25.7431
